"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"3586.854945644","27577745408","27577745408","27577745408"
"3591.313051513","27827306496","27827306496","27827306496"
"3601.857294435","27577745408","27577745408","27577745408"
"3606.313193171","27827306496","27827306496","27827306496"
"3616.856154001","27577745408","27577745408","27577745408"
"3621.314467734","27827306496","27827306496","27827306496"
"3631.855810889","27577745408","27577745408","27577745408"
"3636.313444937","27827306496","27827306496","27827306496"
"3646.856622997","27577745408","27577745408","27577745408"
"3651.314459155","27827306496","27827306496","27827306496"
"3661.855880015","27577745408","27577745408","27577745408"
"3666.313000377","27827306496","27827306496","27827306496"
"3676.854250714","27577745408","27577745408","27577745408"
"3681.311969281","27827306496","27827306496","27827306496"
"3691.85547864","27577745408","27577745408","27577745408"
"3696.31213448","27827306496","27827306496","27827306496"
"3706.855629946","27577745408","27577745408","27577745408"
"3711.312852101","27827306496","27827306496","27827306496"
"3721.854467212","27577745408","27577745408","27577745408"
"3726.312959743","27827306496","27827306496","27827306496"
"3736.8560457519998","27577745408","27577745408","27577745408"
"3741.313003932","27827306496","27827306496","27827306496"
"3751.856089102","27577745408","27577745408","27577745408"
"3756.312887378","27827306496","27827306496","27827306496"
"3766.855139293","27577745408","27577745408","27577745408"
"3771.311494843","27827306496","27827306496","27827306496"
"3781.855161758","27577745408","27577745408","27577745408"
"3786.313085018","27827306496","27827306496","27827306496"
"3796.856227882","27577745408","27577745408","27577745408"
"3801.313399449","27827306496","27827306496","27827306496"
"3811.856082563","27577745408","27577745408","27577745408"
"3816.311847194","27827306496","27827306496","27827306496"
"3826.855458501","27577745408","27577745408","27577745408"
"3831.313380056","27827306496","27827306496","27827306496"
"3841.856628328","27577745408","27577745408","27577745408"
"3846.313164646","27827306496","27827306496","27827306496"
"3856.857662282","27577745408","27577745408","27577745408"
"3861.312340455","27827306496","27827306496","27827306496"
"3871.855004436","27577745408","27577745408","27577745408"
"3876.312878224","27827306496","27827306496","27827306496"
"3886.854955135","27577745408","27577745408","27577745408"
"3891.313072209","27827306496","27827306496","27827306496"
"3901.855554838","27577745408","27577745408","27577745408"
"3906.313778922","27827306496","27827306496","27827306496"
"3916.855516775","27577745408","27577745408","27577745408"
"3921.311492879","27827306496","27827306496","27827306496"
"3931.855341094","27577745408","27577745408","27577745408"
"3936.312546783","27827306496","27827306496","27827306496"
"3946.856225192","27577745408","27577745408","27577745408"
"3951.312745149","27827306496","27827306496","27827306496"
"3961.856060061","27577745408","27577745408","27577745408"
"3966.312010853","27827306496","27827306496","27827306496"
"3976.85525413","27577745408","27577745408","27577745408"
"3981.312783685","27827306496","27827306496","27827306496"
"3991.855540527","27577745408","27577745408","27577745408"
"3996.312734217","27827306496","27827306496","27827306496"
"4006.85502947","27577745408","27577745408","27577745408"
"4011.313172693","27827306496","27827306496","27827306496"
"4021.856017484","27577745408","27577745408","27577745408"
"4026.313473518","27827306496","27827306496","27827306496"
"4036.855051345","27577745408","27577745408","27577745408"
"4041.311691526","27827306496","27827306496","27827306496"
"4051.854540825","27577745408","27577745408","27577745408"
"4056.312959222","27827306496","27827306496","27827306496"
"4066.854832903","27577745408","27577745408","27577745408"
"4071.311978127","27827306496","27827306496","27827306496"
"4081.854584058","27577745408","27577745408","27577745408"
"4086.313129152","27827306496","27827306496","27827306496"
"4096.855046908","27577745408","27577745408","27577745408"
"4101.312344368","27827306496","27827306496","27827306496"
"4111.854906885","27577745408","27577745408","27577745408"
"4116.311545149","27827306496","27827306496","27827306496"
"4126.8552798","27577745408","27577745408","27577745408"
"4131.313084504","27827306496","27827306496","27827306496"
"4141.856169557","27577745408","27577745408","27577745408"
"4146.313100892","27827306496","27827306496","27827306496"
"4156.856604292","27577745408","27577745408","27577745408"
"4161.313972885","27827306496","27827306496","27827306496"
"4171.85645334","27577745408","27577745408","27577745408"
"4176.313249077","27827306496","27827306496","27827306496"
"4186.855662121","27577745408","27577745408","27577745408"
"4191.311735604","27827306496","27827306496","27827306496"
