"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"304","0.8414820432662964","0.8414820432662964","0.8414820432662964","3311","3311","3311"
"305","0.8455352187156677","0.8455352187156677","0.8455352187156677","3322","3322","3322"
"306","0.8393513560295105","0.8393513560295105","0.8393513560295105","3333","3333","3333"
"307","0.8430761694908142","0.8430761694908142","0.8430761694908142","3343","3343","3343"
"308","0.8367252349853516","0.8367252349853516","0.8367252349853516","3354","3354","3354"
"309","0.8402453660964966","0.8402453660964966","0.8402453660964966","3365","3365","3365"
"310","0.8333215713500977","0.8333215713500977","0.8333215713500977","3376","3376","3376"
"311","0.8422043323516846","0.8422043323516846","0.8422043323516846","3387","3387","3387"
"312","0.8415561318397522","0.8415561318397522","0.8415561318397522","3398","3398","3398"
"313","0.8404289484024048","0.8404289484024048","0.8404289484024048","3409","3409","3409"
"314","0.8407342433929443","0.8407342433929443","0.8407342433929443","3419","3419","3419"
"315","0.8316916227340698","0.8316916227340698","0.8316916227340698","3430","3430","3430"
"316","0.8415997624397278","0.8415997624397278","0.8415997624397278","3441","3441","3441"
"317","0.8410881161689758","0.8410881161689758","0.8410881161689758","3452","3452","3452"
"318","0.8380144834518433","0.8380144834518433","0.8380144834518433","3463","3463","3463"
"319","0.8354182243347168","0.8354182243347168","0.8354182243347168","3474","3474","3474"
"320","0.8372676968574524","0.8372676968574524","0.8372676968574524","3485","3485","3485"
"321","0.8415400981903076","0.8415400981903076","0.8415400981903076","3495","3495","3495"
"322","0.8345903158187866","0.8345903158187866","0.8345903158187866","3506","3506","3506"
"323","0.8340526819229126","0.8340526819229126","0.8340526819229126","3517","3517","3517"
"324","0.8372774720191956","0.8372774720191956","0.8372774720191956","3528","3528","3528"
"325","0.8333232402801514","0.8333232402801514","0.8333232402801514","3539","3539","3539"
"326","0.8349093198776245","0.8349093198776245","0.8349093198776245","3550","3550","3550"
"327","0.8366406559944153","0.8366406559944153","0.8366406559944153","3561","3561","3561"
"328","0.8430765271186829","0.8430765271186829","0.8430765271186829","3571","3571","3571"
"329","0.8393955230712891","0.8393955230712891","0.8393955230712891","3582","3582","3582"
"330","0.8383007049560547","0.8383007049560547","0.8383007049560547","3593","3593","3593"
"331","0.8339194059371948","0.8339194059371948","0.8339194059371948","3604","3604","3604"
"332","0.8375852704048157","0.8375852704048157","0.8375852704048157","3615","3615","3615"
"333","0.8395801186561584","0.8395801186561584","0.8395801186561584","3626","3626","3626"
"334","0.8351154327392578","0.8351154327392578","0.8351154327392578","3637","3637","3637"
"335","0.8406177759170532","0.8406177759170532","0.8406177759170532","3647","3647","3647"
