"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"73922.099827","31704940544","31704940544","31704940544"
"73937.099405","31704940544","31704940544","31704940544"
"73952.099037","31704940544","31704940544","31704940544"
"73967.10034","31704940544","31704940544","31704940544"
"73982.100069","31704940544","31704940544","31704940544"
"73997.099739","31704940544","31704940544","31704940544"
"74012.099614","31704940544","31704940544","31704940544"
"74027.100056","31704940544","31704940544","31704940544"
"74042.099973","31704940544","31704940544","31704940544"
"74057.099549","31704940544","31704940544","31704940544"
"74072.099204","31704940544","31704940544","31704940544"
"74087.099119","31704940544","31704940544","31704940544"
"74102.101286","31704940544","31704940544","31704940544"
"74117.100169","31704940544","31704940544","31704940544"
"74132.098714","31704940544","31704940544","31704940544"
"74147.100046","31704940544","31704940544","31704940544"
"74162.099122","31704940544","31704940544","31704940544"
"74177.099689","31704940544","31704940544","31704940544"
"74192.100291","31704940544","31704940544","31704940544"
"74207.099237","31704940544","31704940544","31704940544"
"74222.100033","31704940544","31704940544","31704940544"
"74237.099912","31704940544","31704940544","31704940544"
"74252.099659","31704940544","31704940544","31704940544"
"74267.099274","31704940544","31704940544","31704940544"
"74282.099214","31704940544","31704940544","31704940544"
"74297.099841","31704940544","31704940544","31704940544"
"74312.099782","31704940544","31704940544","31704940544"
"74327.099127","31704940544","31704940544","31704940544"
"74342.099764","31704940544","31704940544","31704940544"
"74357.09982","31704940544","31704940544","31704940544"
"74372.099553","31704940544","31704940544","31704940544"
"74387.099153","31704940544","31704940544","31704940544"
"74402.099044","31704940544","31704940544","31704940544"
"74417.100715","31704940544","31704940544","31704940544"
"74432.0992","31704940544","31704940544","31704940544"
"74447.098432","31704940544","31704940544","31704940544"
"74462.09941","31704940544","31704940544","31704940544"
"74477.09973","31704940544","31704940544","31704940544"
"74492.099907","31704940544","31704940544","31704940544"
"74507.100485","31704940544","31704940544","31704940544"
"74522.099654","31704940544","31704940544","31704940544"
"74537.099282","31704940544","31704940544","31704940544"
"74552.100275","31704940544","31704940544","31704940544"
"74567.100191","31704940544","31704940544","31704940544"
